line_no,side,section,name,line_type,formula,note
1,left,流动资产,货币资金,item,1001+1002+1012,
2,left,流动资产,短期投资,item,1101,
3,left,流动资产,应收票据,item,1121,
4,left,流动资产,应收账款,item,"@analyze(1122,2203,debit)",期末贷方余额转列预收账款(34)
5,left,流动资产,预付账款,item,"@analyze(1123,2202,debit)",期末贷方余额转列应付账款(33)；超1年期部分转列其他非流动资产(28)
6,left,流动资产,应收股利,item,1131,
7,left,流动资产,应收利息,item,1132,
8,left,流动资产,其他应收款,item,1221,
9,left,流动资产,存货,item,1401+1402+1403+1404-1407+1405+1408+1411+1421+4001,原文列示科目：材料采购/在途物资/原材料/材料成本差异/生产成本/库存商品/商品进销差价/委托加工物资/周转材料/消耗性生物资产；4001 生产成本计入存货
10,left,流动资产,　其中：原材料,memo,1403,
11,left,流动资产,　　　　在产品,memo,4001,
12,left,流动资产,　　　　库存商品,memo,1405,
13,left,流动资产,　　　　周转材料,memo,1411,
14,left,流动资产,其他流动资产,item,,手工/其他科目分析填列
15,left,流动资产,流动资产合计,subtotal,@L(1)+@L(2)+@L(3)+@L(4)+@L(5)+@L(6)+@L(7)+@L(8)+@L(9)+@L(14),官方勾稽关系
16,left,非流动资产,长期债券投资,item,1501,
17,left,非流动资产,长期股权投资,item,1511,
18,left,非流动资产,固定资产原价,item,1601,
19,left,非流动资产,减：累计折旧,item,1602,
20,left,非流动资产,固定资产账面价值,item,@L(18)-@L(19),官方勾稽关系
21,left,非流动资产,在建工程,item,1604,
22,left,非流动资产,工程物资,item,1605,
23,left,非流动资产,固定资产清理,item,1606,借方余额填列；贷方余额以负号列示
24,left,非流动资产,生产性生物资产,item,1621-1622,
25,left,非流动资产,无形资产,item,1701-1702,
26,left,非流动资产,开发支出,item,4301,取『研发支出』科目期末余额
27,left,非流动资产,长期待摊费用,item,1801,
28,left,非流动资产,其他非流动资产,item,,含超1年期的预付账款借方余额
29,left,非流动资产,非流动资产合计,subtotal,@L(16)+@L(17)+@L(20)+@L(21)+@L(22)+@L(23)+@L(24)+@L(25)+@L(26)+@L(27)+@L(28),官方勾稽关系
30,left,,资产总计,total,@L(15)+@L(29),官方勾稽关系
31,right,流动负债,短期借款,item,2001,
32,right,流动负债,应付票据,item,2201,
33,right,流动负债,应付账款,item,"@analyze(2202,1123,credit)",期末借方余额转列预付账款(5)
34,right,流动负债,预收账款,item,"@analyze(2203,1122,credit)",期末借方余额转列应收账款(4)；超1年期部分转列其他非流动负债(45)
35,right,流动负债,应付职工薪酬,item,2211,
36,right,流动负债,应交税费,item,2221,期末贷方余额填列；借方余额以负号列示
37,right,流动负债,应付利息,item,2231,
38,right,流动负债,应付利润,item,2232,
39,right,流动负债,其他应付款,item,2241,★ 股东借款在此列示
40,right,流动负债,其他流动负债,item,,含1年内到期的非流动负债
41,right,流动负债,流动负债合计,subtotal,@L(31)+@L(32)+@L(33)+@L(34)+@L(35)+@L(36)+@L(37)+@L(38)+@L(39)+@L(40),官方勾稽关系
42,right,非流动负债,长期借款,item,2501,
43,right,非流动负债,长期应付款,item,2701,
44,right,非流动负债,递延收益,item,2401,
45,right,非流动负债,其他非流动负债,item,,含超1年期的预收账款贷方余额
46,right,非流动负债,非流动负债合计,subtotal,@L(42)+@L(43)+@L(44)+@L(45),官方勾稽关系
47,right,,负债合计,total,@L(41)+@L(46),官方勾稽关系
48,right,所有者权益,实收资本（或股本）,item,3001,
49,right,所有者权益,资本公积,item,3002,
50,right,所有者权益,盈余公积,item,3101,
51,right,所有者权益,未分配利润,item,3104+3103+5001+5051+5111+5301-5401-5402-5403-5601-5602-5603-5711-5801,原文仅列『利润分配』。实务须并入『本年利润』3103，并加上**尚未结转的损益**（收入类合计 − 费用类合计）——否则月末未做结转损益时行53≠行30，报表不平。已结转时 5xxx 余额为 0、3103 有值；未结转时 3103 为 0、5xxx 有值：两种情况结果都正确
52,right,所有者权益,所有者权益（或股东权益）合计,subtotal,@L(48)+@L(49)+@L(50)+@L(51),官方勾稽关系
53,right,,负债和所有者权益（或股东权益）总计,total,@L(47)+@L(52),官方勾稽关系：行53=行47+行52=行30（必须相等）
