line_no,name,line_type,formula,note
1,一、营业收入,item,5001+5051,按发生额填列（非余额）
2,减：营业成本,item,5401+5402,
3,营业税金及附加,item,5403,
4,消费税,memo,540301,附列项，按明细科目取数
5,营业税,memo,,营改增后已取消，本表无对应科目，恒为 0
6,城市维护建设税,memo,540302,附列项，按明细科目取数
7,资源税,memo,540303,附列项，按明细科目取数
8,土地增值税,memo,540304,附列项，按明细科目取数
9,城镇土地使用税、房产税、车船税、印花税,memo,540305+540306+540307+540308,附列项，按明细科目取数
10,教育费附加、矿产资源补偿费、排污费,memo,540309+540310+540311+540312,附列项，按明细科目取数
11,销售费用,item,5601,
12,商品维修费,memo,560108,附列项，按明细科目取数
13,广告费和业务宣传费,memo,560107,附列项，按明细科目取数
14,管理费用,item,5602,
15,开办费,memo,560214,附列项，按明细科目取数
16,业务招待费,memo,560208,附列项，按明细科目取数
17,研究费用,memo,560215,附列项，按明细科目取数
18,财务费用,item,5603,
19,利息费用（收入以“-”号填列）,memo,560301-560302,收入以负数填列
20,加：投资收益（损失以“-”号填列）,item,5111,
21,二、营业利润（亏损以“-”号填列）,subtotal,@L(1)-@L(2)-@L(3)-@L(11)-@L(14)-@L(18)+@L(20),官方勾稽关系
22,加：营业外收入,item,5301,
23,政府补助,memo,530102,附列项，按明细科目取数
24,减：营业外支出,item,5711,
25,坏账损失,memo,571102,附列项，按明细科目取数
26,无法收回的长期债券投资损失,memo,571103,附列项，按明细科目取数
27,无法收回的长期股权投资损失,memo,571104,附列项，按明细科目取数
28,自然灾害等不可抗力因素造成的损失,memo,571105,附列项，按明细科目取数
29,税收滞纳金,memo,571106,附列项，按明细科目取数
30,三、利润总额（亏损总额以“-”号填列）,subtotal,@L(21)+@L(22)-@L(24),官方勾稽关系
31,减：所得税费用,item,5801,
32,四、净利润（净亏损以“-”号填列）,total,@L(30)-@L(31),官方勾稽关系
